,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
164,Ipswich Town,Sheffield Wednesday,0–1,1992-93,Portman Road,Hillsborough,"52.0572985, 1.145841","53.41137895, -1.500631103337827",145.2598875850125
165,Ipswich Town,Southampton,0–0,1992-93,Portman Road,St Mary's Stadium,"52.0572985, 1.145841","50.90582665, -1.390881661218431",135.36391023554495
166,Ipswich Town,Tottenham Hotspur,1–1,1992-93,Portman Road,Tottenham Hotspur Stadium,"52.0572985, 1.145841","51.604157, -0.0662604100000004",60.6390644200403
167,Ipswich Town,Wimbledon,2–1,1992-93,Portman Road,Selhurst Park,"52.0572985, 1.145841","51.39824295, -0.085255058181276",69.78125384273058
168,Leeds United,Arsenal,3–0,1992-93,Elland Road,Emirates Stadium,"53.764161, -1.5832414","51.55504035, -0.1083996708672374",164.84908065713122
169,Leeds United,Aston Villa,1–1,1992-93,Elland Road,Villa Park,"53.764161, -1.5832414","52.5091264, -1.8850354312212985",87.69024634432103
170,Leeds United,Blackburn Rovers,5–2,1992-93,Elland Road,Ewood Park,"53.764161, -1.5832414","53.728608949999995, -2.4892582964443477",37.22244441482729
171,Leeds United,Chelsea,1–1,1992-93,Elland Road,Stamford Bridge,"53.764161, -1.5832414","51.481686499999995, -0.19103517666346065",168.3368262288748
172,Leeds United,Coventry City,2–2,1992-93,Elland Road,Coventry Building Society Arena,"53.764161, -1.5832414","52.44816495, -1.4971183945757918",91.0733851350599
173,Leeds United,Crystal Palace,0–0,1992-93,Elland Road,Selhurst Park,"53.764161, -1.5832414","51.39824295, -0.085255058181276",175.3270901268361
174,Leeds United,Everton,2–0,1992-93,Elland Road,Goodison Park,"53.764161, -1.5832414","53.4387191, -2.9664539939087415",61.18693529240892
175,Leeds United,Ipswich Town,1–0,1992-93,Elland Road,Portman Road,"53.764161, -1.5832414","52.0572985, 1.145841",164.12858234349997
176,Leeds United,Liverpool,2–2,1992-93,Elland Road,Anfield,"53.764161, -1.5832414","53.4308358, -2.9609095414165294",61.18311478690026
177,Leeds United,Manchester City,1–0,1992-93,Elland Road,City of Manchester Stadium,"53.764161, -1.5832414","53.48309105, -2.2002520023433307",31.95834206819686
178,Leeds United,Manchester United,0–0,1992-93,Elland Road,Old Trafford,"53.764161, -1.5832414","53.46310955, -2.2913864850545362",35.79796851955973
179,Leeds United,Middlesbrough,3–0,1992-93,Elland Road,Riverside Stadium,"53.764161, -1.5832414","54.57831335, -1.2169383040174622",58.23844780451322
180,Leeds United,Norwich City,0–0,1992-93,Elland Road,Carrow Road,"53.764161, -1.5832414","52.6219835, 1.3101317640023948",143.78077455632598
181,Leeds United,Nottingham Forest,1–4,1992-93,Elland Road,City Ground,"53.764161, -1.5832414","52.93993865, -1.1328954461216225",59.966708825055726
182,Leeds United,Oldham Athletic,2–0,1992-93,Elland Road,Boundary Park,"53.764161, -1.5832414","53.555117800000005, -2.128417592493478",26.655878536614836
183,Leeds United,Queens Park Rangers,1–1,1992-93,Elland Road,Loftus Road,"53.764161, -1.5832414","51.5420327, 0.0769485",168.75567079554585
184,Leeds United,Sheffield United,3–1,1992-93,Elland Road,Bramall Lane,"53.764161, -1.5832414","53.3703478, -1.4697008060650654",27.633019456683577
185,Leeds United,Sheffield Wednesday,3–1,1992-93,Elland Road,Hillsborough,"53.764161, -1.5832414","53.41137895, -1.500631103337827",24.63299427338779
186,Leeds United,Southampton,2–1,1992-93,Elland Road,St Mary's Stadium,"53.764161, -1.5832414","50.90582665, -1.390881661218431",197.79930406620412
187,Leeds United,Tottenham Hotspur,5–0,1992-93,Elland Road,Tottenham Hotspur Stadium,"53.764161, -1.5832414","51.604157, -0.0662604100000004",162.38114162946735
188,Leeds United,Wimbledon,2–1,1992-93,Elland Road,Selhurst Park,"53.764161, -1.5832414","51.39824295, -0.085255058181276",175.3270901268361
189,Liverpool,Arsenal,0–2,1992-93,Anfield,Emirates Stadium,"53.4308358, -2.9609095414165294","51.55504035, -0.1083996708672374",176.93396001775898
190,Liverpool,Aston Villa,1–2,1992-93,Anfield,Villa Park,"53.4308358, -2.9609095414165294","52.5091264, -1.8850354312212985",77.9691240039508
191,Liverpool,Blackburn Rovers,2–1,1992-93,Anfield,Ewood Park,"53.4308358, -2.9609095414165294","53.728608949999995, -2.4892582964443477",28.299620124746006
192,Liverpool,Chelsea,2–1,1992-93,Anfield,Stamford Bridge,"53.4308358, -2.9609095414165294","51.481686499999995, -0.19103517666346065",178.4434143984804
193,Liverpool,Coventry City,4–0,1992-93,Anfield,Coventry Building Society Arena,"53.4308358, -2.9609095414165294","52.44816495, -1.4971183945757918",91.41131000804616
194,Liverpool,Crystal Palace,5–0,1992-93,Anfield,Selhurst Park,"53.4308358, -2.9609095414165294","51.39824295, -0.085255058181276",185.8007769439956
195,Liverpool,Everton,1–0,1992-93,Anfield,Goodison Park,"53.4308358, -2.9609095414165294","53.4387191, -2.9664539939087415",0.591301805512045
196,Liverpool,Ipswich Town,0–0,1992-93,Anfield,Portman Road,"53.4308358, -2.9609095414165294","52.0572985, 1.145841",196.72908086001874
197,Liverpool,Leeds United,2–0,1992-93,Anfield,Elland Road,"53.4308358, -2.9609095414165294","53.764161, -1.5832414",61.18311478690026
198,Liverpool,Manchester City,1–1,1992-93,Anfield,City of Manchester Stadium,"53.4308358, -2.9609095414165294","53.48309105, -2.2002520023433307",31.6035370482976
199,Liverpool,Manchester United,1–2,1992-93,Anfield,Old Trafford,"53.4308358, -2.9609095414165294","53.46310955, -2.2913864850545362",27.731141521908608
200,Liverpool,Middlesbrough,4–1,1992-93,Anfield,Riverside Stadium,"53.4308358, -2.9609095414165294","54.57831335, -1.2169383040174622",106.51522111985531
201,Liverpool,Norwich City,4–1,1992-93,Anfield,Carrow Road,"53.4308358, -2.9609095414165294","52.6219835, 1.3101317640023948",186.6107228899
202,Liverpool,Nottingham Forest,0–0,1992-93,Anfield,City Ground,"53.4308358, -2.9609095414165294","52.93993865, -1.1328954461216225",83.17196745683847
203,Liverpool,Oldham Athletic,1–0,1992-93,Anfield,Boundary Park,"53.4308358, -2.9609095414165294","53.555117800000005, -2.128417592493478",35.39156068421586
204,Liverpool,Queens Park Rangers,1–0,1992-93,Anfield,Loftus Road,"53.4308358, -2.9609095414165294","51.5420327, 0.0769485",182.99585884110866
205,Liverpool,Sheffield United,2–1,1992-93,Anfield,Bramall Lane,"53.4308358, -2.9609095414165294","53.3703478, -1.4697008060650654",61.77230052476301
206,Liverpool,Sheffield Wednesday,1–0,1992-93,Anfield,Hillsborough,"53.4308358, -2.9609095414165294","53.41137895, -1.500631103337827",60.33821373004979
207,Liverpool,Southampton,1–1,1992-93,Anfield,St Mary's Stadium,"53.4308358, -2.9609095414165294","50.90582665, -1.390881661218431",186.89305817352593
208,Liverpool,Tottenham Hotspur,6–2,1992-93,Anfield,Tottenham Hotspur Stadium,"53.4308358, -2.9609095414165294","51.604157, -0.0662604100000004",175.64496040805957
209,Liverpool,Wimbledon,2–3,1992-93,Anfield,Selhurst Park,"53.4308358, -2.9609095414165294","51.39824295, -0.085255058181276",185.8007769439956
210,Manchester City,Arsenal,0–1,1992-93,City of Manchester Stadium,Emirates Stadium,"53.48309105, -2.2002520023433307","51.55504035, -0.1083996708672374",159.8517463773558
211,Manchester City,Aston Villa,1–1,1992-93,City of Manchester Stadium,Villa Park,"53.48309105, -2.2002520023433307","52.5091264, -1.8850354312212985",68.6214665274914
212,Manchester City,Blackburn Rovers,3–2,1992-93,City of Manchester Stadium,Ewood Park,"53.48309105, -2.2002520023433307","53.728608949999995, -2.4892582964443477",20.726747117272108
213,Manchester City,Chelsea,0–1,1992-93,City of Manchester Stadium,Stamford Bridge,"53.48309105, -2.2002520023433307","51.481686499999995, -0.19103517666346065",162.2946643565301
214,Manchester City,Coventry City,1–0,1992-93,City of Manchester Stadium,Coventry Building Society Arena,"53.48309105, -2.2002520023433307","52.44816495, -1.4971183945757918",77.35077533336262
215,Manchester City,Crystal Palace,0–0,1992-93,City of Manchester Stadium,Selhurst Park,"53.48309105, -2.2002520023433307","51.39824295, -0.085255058181276",169.59046458903026
216,Manchester City,Everton,2–5,1992-93,City of Manchester Stadium,Goodison Park,"53.48309105, -2.2002520023433307","53.4387191, -2.9664539939087415",31.770703950417023
217,Manchester City,Ipswich Town,3–1,1992-93,City of Manchester Stadium,Portman Road,"53.48309105, -2.2002520023433307","52.0572985, 1.145841",171.47143905885113
218,Manchester City,Leeds United,4–0,1992-93,City of Manchester Stadium,Elland Road,"53.48309105, -2.2002520023433307","53.764161, -1.5832414",31.95834206819686
219,Manchester City,Liverpool,1–1,1992-93,City of Manchester Stadium,Anfield,"53.48309105, -2.2002520023433307","53.4308358, -2.9609095414165294",31.6035370482976
220,Manchester City,Manchester United,1–1,1992-93,City of Manchester Stadium,Old Trafford,"53.48309105, -2.2002520023433307","53.46310955, -2.2913864850545362",4.006048248062613
221,Manchester City,Middlesbrough,0–1,1992-93,City of Manchester Stadium,Riverside Stadium,"53.48309105, -2.2002520023433307","54.57831335, -1.2169383040174622",85.67603779679666
222,Manchester City,Norwich City,3–1,1992-93,City of Manchester Stadium,Carrow Road,"53.48309105, -2.2002520023433307","52.6219835, 1.3101317640023948",157.90022532939307
223,Manchester City,Nottingham Forest,2–2,1992-93,City of Manchester Stadium,City Ground,"53.48309105, -2.2002520023433307","52.93993865, -1.1328954461216225",58.08573317818023
224,Manchester City,Oldham Athletic,3–3,1992-93,City of Manchester Stadium,Boundary Park,"53.48309105, -2.2002520023433307","53.555117800000005, -2.128417592493478",5.7945471251200775
225,Manchester City,Queens Park Rangers,1–1,1992-93,City of Manchester Stadium,Loftus Road,"53.48309105, -2.2002520023433307","51.5420327, 0.0769485",165.0316782423853
226,Manchester City,Sheffield United,2–0,1992-93,City of Manchester Stadium,Bramall Lane,"53.48309105, -2.2002520023433307","53.3703478, -1.4697008060650654",31.166023356513847
227,Manchester City,Sheffield Wednesday,1–2,1992-93,City of Manchester Stadium,Hillsborough,"53.48309105, -2.2002520023433307","53.41137895, -1.500631103337827",29.306226326487856
228,Manchester City,Southampton,1–0,1992-93,City of Manchester Stadium,St Mary's Stadium,"53.48309105, -2.2002520023433307","50.90582665, -1.390881661218431",181.4783619609462
229,Manchester City,Tottenham Hotspur,0–1,1992-93,City of Manchester Stadium,Tottenham Hotspur Stadium,"53.48309105, -2.2002520023433307","51.604157, -0.0662604100000004",158.00800634475294
230,Manchester City,Wimbledon,1–1,1992-93,City of Manchester Stadium,Selhurst Park,"53.48309105, -2.2002520023433307","51.39824295, -0.085255058181276",169.59046458903026
231,Manchester United,Arsenal,0–0,1992-93,Old Trafford,Emirates Stadium,"53.46310955, -2.2913864850545362","51.55504035, -0.1083996708672374",160.88072413971335
232,Manchester United,Aston Villa,1–1,1992-93,Old Trafford,Villa Park,"53.46310955, -2.2913864850545362","52.5091264, -1.8850354312212985",68.1121370516169
233,Manchester United,Blackburn Rovers,3–1,1992-93,Old Trafford,Ewood Park,"53.46310955, -2.2913864850545362","53.728608949999995, -2.4892582964443477",20.084811044044887
234,Manchester United,Chelsea,3–0,1992-93,Old Trafford,Stamford Bridge,"53.46310955, -2.2913864850545362","51.481686499999995, -0.19103517666346065",163.18575881530475
235,Manchester United,Coventry City,5–0,1992-93,Old Trafford,Coventry Building Society Arena,"53.46310955, -2.2913864850545362","52.44816495, -1.4971183945757918",77.62480229477733
236,Manchester United,Crystal Palace,1–0,1992-93,Old Trafford,Selhurst Park,"53.46310955, -2.2913864850545362","51.39824295, -0.085255058181276",170.50224279249758
237,Manchester United,Everton,0–3,1992-93,Old Trafford,Goodison Park,"53.46310955, -2.2913864850545362","53.4387191, -2.9664539939087415",27.918500820070086
238,Manchester United,Ipswich Town,1–1,1992-93,Old Trafford,Portman Road,"53.46310955, -2.2913864850545362","52.0572985, 1.145841",173.86240674003156
239,Manchester United,Leeds United,2–0,1992-93,Old Trafford,Elland Road,"53.46310955, -2.2913864850545362","53.764161, -1.5832414",35.79796851955973
240,Manchester United,Liverpool,2–2,1992-93,Old Trafford,Anfield,"53.46310955, -2.2913864850545362","53.4308358, -2.9609095414165294",27.731141521908608
241,Manchester United,Manchester City,2–1,1992-93,Old Trafford,City of Manchester Stadium,"53.46310955, -2.2913864850545362","53.48309105, -2.2002520023433307",4.006048248062613
242,Manchester United,Middlesbrough,3–0,1992-93,Old Trafford,Riverside Stadium,"53.46310955, -2.2913864850545362","54.57831335, -1.2169383040174622",88.67563501444776
243,Manchester United,Norwich City,1–0,1992-93,Old Trafford,Carrow Road,"53.46310955, -2.2913864850545362","52.6219835, 1.3101317640023948",160.9503053331535
244,Manchester United,Nottingham Forest,2–0,1992-93,Old Trafford,City Ground,"53.46310955, -2.2913864850545362","52.93993865, -1.1328954461216225",60.188789039346325
245,Manchester United,Oldham Athletic,3–0,1992-93,Old Trafford,Boundary Park,"53.46310955, -2.2913864850545362","53.555117800000005, -2.128417592493478",9.253269919846579
246,Manchester United,Queens Park Rangers,0–0,1992-93,Old Trafford,Loftus Road,"53.46310955, -2.2913864850545362","51.5420327, 0.0769485",166.2045503095643
247,Manchester United,Sheffield United,2–1,1992-93,Old Trafford,Bramall Lane,"53.46310955, -2.2913864850545362","53.3703478, -1.4697008060650654",34.54799419396212
248,Manchester United,Sheffield Wednesday,2–1,1992-93,Old Trafford,Hillsborough,"53.46310955, -2.2913864850545362","53.41137895, -1.500631103337827",32.84903113466075
249,Manchester United,Southampton,2–1,1992-93,Old Trafford,St Mary's Stadium,"53.46310955, -2.2913864850545362","50.90582665, -1.390881661218431",180.9020488221547
250,Manchester United,Tottenham Hotspur,4–1,1992-93,Old Trafford,Tottenham Hotspur Stadium,"53.46310955, -2.2913864850545362","51.604157, -0.0662604100000004",159.11937083497463
251,Manchester United,Wimbledon,0–1,1992-93,Old Trafford,Selhurst Park,"53.46310955, -2.2913864850545362","51.39824295, -0.085255058181276",170.50224279249758
252,Middlesbrough,Arsenal,1–0,1992-93,Riverside Stadium,Emirates Stadium,"54.57831335, -1.2169383040174622","51.55504035, -0.1083996708672374",214.09270489596466
253,Middlesbrough,Aston Villa,2–3,1992-93,Riverside Stadium,Villa Park,"54.57831335, -1.2169383040174622","52.5091264, -1.8850354312212985",145.71786411235846
254,Middlesbrough,Blackburn Rovers,3–2,1992-93,Riverside Stadium,Ewood Park,"54.57831335, -1.2169383040174622","53.728608949999995, -2.4892582964443477",78.23867108974922
255,Middlesbrough,Chelsea,0–0,1992-93,Riverside Stadium,Stamford Bridge,"54.57831335, -1.2169383040174622","51.481686499999995, -0.19103517666346065",218.35564491143182
256,Middlesbrough,Coventry City,0–2,1992-93,Riverside Stadium,Coventry Building Society Arena,"54.57831335, -1.2169383040174622","52.44816495, -1.4971183945757918",147.76434149094953
257,Middlesbrough,Crystal Palace,0–1,1992-93,Riverside Stadium,Selhurst Park,"54.57831335, -1.2169383040174622","51.39824295, -0.085255058181276",224.90684112836493
258,Middlesbrough,Everton,1–2,1992-93,Riverside Stadium,Goodison Park,"54.57831335, -1.2169383040174622","53.4387191, -2.9664539939087415",106.25655540971366
259,Middlesbrough,Ipswich Town,2–2,1992-93,Riverside Stadium,Portman Road,"54.57831335, -1.2169383040174622","52.0572985, 1.145841",199.8902349490348
260,Middlesbrough,Leeds United,4–1,1992-93,Riverside Stadium,Elland Road,"54.57831335, -1.2169383040174622","53.764161, -1.5832414",58.23844780451322
261,Middlesbrough,Liverpool,1–2,1992-93,Riverside Stadium,Anfield,"54.57831335, -1.2169383040174622","53.4308358, -2.9609095414165294",106.51522111985531
262,Middlesbrough,Manchester City,2–0,1992-93,Riverside Stadium,City of Manchester Stadium,"54.57831335, -1.2169383040174622","53.48309105, -2.2002520023433307",85.67603779679666
263,Middlesbrough,Manchester United,1–1,1992-93,Riverside Stadium,Old Trafford,"54.57831335, -1.2169383040174622","53.46310955, -2.2913864850545362",88.67563501444776
264,Middlesbrough,Norwich City,3–3,1992-93,Riverside Stadium,Carrow Road,"54.57831335, -1.2169383040174622","52.6219835, 1.3101317640023948",170.59607086626818
265,Middlesbrough,Nottingham Forest,1–2,1992-93,Riverside Stadium,City Ground,"54.57831335, -1.2169383040174622","52.93993865, -1.1328954461216225",113.36052927956604
266,Middlesbrough,Oldham Athletic,2–3,1992-93,Riverside Stadium,Boundary Park,"54.57831335, -1.2169383040174622","53.555117800000005, -2.128417592493478",79.8913950813075
267,Middlesbrough,Queens Park Rangers,0–1,1992-93,Riverside Stadium,Loftus Road,"54.57831335, -1.2169383040174622","51.5420327, 0.0769485",216.75958321327545
268,Middlesbrough,Sheffield United,2–0,1992-93,Riverside Stadium,Bramall Lane,"54.57831335, -1.2169383040174622","53.3703478, -1.4697008060650654",84.17767666196116
269,Middlesbrough,Sheffield Wednesday,1–1,1992-93,Riverside Stadium,Hillsborough,"54.57831335, -1.2169383040174622","53.41137895, -1.500631103337827",81.53075920303974
270,Middlesbrough,Southampton,2–1,1992-93,Riverside Stadium,St Mary's Stadium,"54.57831335, -1.2169383040174622","50.90582665, -1.390881661218431",254.0461031948454
271,Middlesbrough,Tottenham Hotspur,3–0,1992-93,Riverside Stadium,Tottenham Hotspur Stadium,"54.57831335, -1.2169383040174622","51.604157, -0.0662604100000004",211.16309542349074
272,Middlesbrough,Wimbledon,2–0,1992-93,Riverside Stadium,Selhurst Park,"54.57831335, -1.2169383040174622","51.39824295, -0.085255058181276",224.90684112836493
273,Norwich City,Arsenal,1–1,1992-93,Carrow Road,Emirates Stadium,"52.6219835, 1.3101317640023948","51.55504035, -0.1083996708672374",95.34672960922497
274,Norwich City,Aston Villa,1–0,1992-93,Carrow Road,Villa Park,"52.6219835, 1.3101317640023948","52.5091264, -1.8850354312212985",134.84217597260078
275,Norwich City,Blackburn Rovers,0–0,1992-93,Carrow Road,Ewood Park,"52.6219835, 1.3101317640023948","53.728608949999995, -2.4892582964443477",175.39726059884654
